strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E1,Baseline clasico,classical_base,base,ninguno,COMPLETADO,0.800955861681192,0.8017860054969788,0.8009558916091919,0.8001843690872192,11.489652633666992,15.247939109802246,0.38898593187332153,3557,,15.298984259003191,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/classical_base,,17.631179809570312,14.711666107177734,6.315685749053955,10.744672775268555,27.7313175201416,509,197,1827,644,380,3557,16593,3555
E1,Baseline clasico,classical_pca_50,ablacion,PCA=50 componentes,COMPLETADO,0.7832443070002811,0.7845545411109924,0.7832443714141846,0.7821015119552612,11.348444938659668,15.09822940826416,0.40092533826828003,3557,,11.755103750008857,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/classical_pca_50,,17.295482635498047,14.620580673217773,6.30006217956543,10.80426025390625,26.880542755126953,509,197,1827,644,380,3557,16593,3555
E1,Baseline clasico,classical_pca_200,ablacion,PCA=200 componentes,COMPLETADO,0.7829631712116952,0.7829787731170654,0.7829631567001343,0.7829707860946655,11.653678894042969,15.435133934020996,0.37389135360717773,3557,,22.776180950997514,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/classical_pca_200,,18.08293342590332,14.906586647033691,6.349017143249512,10.875358581542969,28.17879867553711,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_base,base,ninguno,COMPLETADO,0.8464998594321057,0.8520677089691162,0.8464999198913574,0.846546471118927,12.299086570739746,16.800941467285156,0.2581840753555298,3557,77136899,133.86263995899935,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/mlp_base/best_model.pt,,11.261486053466797,8.784205436706543,7.900729656219482,15.156803131103516,31.814876556396484,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_no_dropout,ablacion,dropout=0.0,COMPLETADO,0.8577452909755412,0.8644489645957947,0.8577452898025513,0.8577427864074707,11.74845027923584,16.538782119750977,0.2811538577079773,3557,77136899,132.20270328699553,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/mlp_no_dropout/best_model.pt,,8.702383041381836,10.766632080078125,8.074295997619629,13.291709899902344,31.38709831237793,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.843126229969075,0.8500451445579529,0.8431262373924255,0.8431065082550049,16.97576332092285,23.745214462280273,-0.4817708730697632,3557,77136899,133.66414921901014,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/mlp_lambda_low/best_model.pt,,8.946895599365234,7.814345836639404,10.267735481262207,24.17397689819336,52.5321044921875,509,197,1827,644,380,3557,16593,3555
E2,MLP multitarea,mlp_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8405960078718021,0.8515875339508057,0.840596079826355,0.8403301239013672,10.602910041809082,14.825257301330566,0.4223918318748474,3557,77136899,134.3023360799998,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/mlp_lambda_high/best_model.pt,,6.960124969482422,10.164103507995605,7.472456455230713,12.148116111755371,28.141992568969727,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_base,base,ninguno,COMPLETADO,0.8746134382906944,0.8747785091400146,0.8746134638786316,0.8744453191757202,9.660715103149414,13.254334449768066,0.5383161306381226,3557,286755,133.06381527100166,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/cnn_base/best_model.pt,,9.513436317443848,8.636253356933594,6.206820964813232,11.17191219329834,24.43397331237793,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_no_augmentation,ablacion,sin aumentacion,COMPLETADO,0.8765813888107956,0.8776777982711792,0.8765814304351807,0.8762011528015137,9.672037124633789,13.52375316619873,0.5193561315536499,3557,286755,85.49065018200781,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/cnn_no_augmentation/best_model.pt,,8.477492332458496,7.414319038391113,5.980927467346191,12.01954460144043,26.210609436035156,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_no_dropout,ablacion,dropout=0.0,COMPLETADO,0.8810795614281698,0.8817439079284668,0.8810795545578003,0.8808029294013977,9.420126914978027,12.93655014038086,0.5601892471313477,3557,286755,137.54478244500933,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/cnn_no_dropout/best_model.pt,,8.768882751464844,8.741684913635254,6.611298561096191,10.85229206085205,21.72157859802246,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.8760191172336238,0.8766528367996216,0.8760191202163696,0.8757307529449463,12.829096794128418,18.34049415588379,0.11600261926651001,3557,286755,133.9897804200009,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/cnn_lambda_low/best_model.pt,,10.92533016204834,6.031705856323242,5.65221643447876,19.30613136291504,42.43186569213867,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8521225752038234,0.8523523807525635,0.8521226048469543,0.8518657088279724,9.356973648071289,12.957271575927734,0.5587791204452515,3557,286755,136.55073036100657,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/cnn_lambda_high/best_model.pt,,7.579855442047119,7.259817123413086,6.376868724822998,11.905932426452637,22.832794189453125,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_base,base,ninguno,COMPLETADO,0.8366601068315996,0.8369475603103638,0.8366601467132568,0.8363218903541565,10.574506759643555,14.045438766479492,0.48155879974365234,3557,1539,131.65679390300647,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_base/best_model.pt,,11.615762710571289,10.333575248718262,6.975265979766846,10.471089363098145,26.784709930419922,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_no_augmentation,ablacion,sin aumentacion,COMPLETADO,0.831037391059882,0.8313195109367371,0.8310374021530151,0.8306769132614136,10.562722206115723,14.080878257751465,0.4789392352104187,3557,1539,82.35291881501325,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_no_augmentation/best_model.pt,,11.376895904541016,10.112717628479004,6.93629264831543,10.580889701843262,27.110132217407227,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.8389091931402868,0.8388670682907104,0.8389092683792114,0.8388828039169312,11.231532096862793,15.201741218566895,0.39268285036087036,3557,1539,138.9502172700013,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_lambda_low/best_model.pt,,13.356886863708496,9.55482006072998,6.05164909362793,12.364818572998047,32.23762512207031,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8366601068315996,0.8369475603103638,0.8366601467132568,0.8363218903541565,10.521821022033691,13.949670791625977,0.48860466480255127,3557,1539,137.7559271039936,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_lambda_high/best_model.pt,,11.442049026489258,10.394186973571777,7.079547882080078,10.366131782531738,26.169301986694336,509,197,1827,644,380,3557,16593,3555
