strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E4,ResNet18 congelada,resnet_frozen_base,base,ninguno,COMPLETADO,0.8366601068315996,0.8369475603103638,0.8366601467132568,0.8363218903541565,10.574506759643555,14.045438766479492,0.48155879974365234,3557,1539,131.65679390300647,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_base/best_model.pt,,11.615762710571289,10.333575248718262,6.975265979766846,10.471089363098145,26.784709930419922,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_no_augmentation,ablacion,sin aumentacion,COMPLETADO,0.831037391059882,0.8313195109367371,0.8310374021530151,0.8306769132614136,10.562722206115723,14.080878257751465,0.4789392352104187,3557,1539,82.35291881501325,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_no_augmentation/best_model.pt,,11.376895904541016,10.112717628479004,6.93629264831543,10.580889701843262,27.110132217407227,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.8389091931402868,0.8388670682907104,0.8389092683792114,0.8388828039169312,11.231532096862793,15.201741218566895,0.39268285036087036,3557,1539,138.9502172700013,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_lambda_low/best_model.pt,,13.356886863708496,9.55482006072998,6.05164909362793,12.364818572998047,32.23762512207031,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8366601068315996,0.8369475603103638,0.8366601467132568,0.8363218903541565,10.521821022033691,13.949670791625977,0.48860466480255127,3557,1539,137.7559271039936,/home/alumnos/pregrado/stevens.alday/Lab3_DL/laboratorio_03_DL/artifacts/checkpoints/resnet_frozen_lambda_high/best_model.pt,,11.442049026489258,10.394186973571777,7.079547882080078,10.366131782531738,26.169301986694336,509,197,1827,644,380,3557,16593,3555
